,KODE_KANTOR,KANTOR_CABANG,KODE_KANWIL,KANWIL,KODE_PPK,NAMA_PPK,ALAMAT_PPK,KODE_POS_PPK,TELEPON_AREA_PPK,TELEPON_PPK,CONTACT_PERSON,TELEPON_PEMILIK,TELEPON_EXT_PEMILIK,NO_PPK,JENIS_FASKES,TGL_PPK,STATUS,ADDRESS,location,point,latitude,longitude
10,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-512210,KLINIK UTAMA MEDICINE INDONESIA,"JL. TUBAGUS ISMAIL VII NO 21, BANDUNG",,,,081286355604,,,7-11333547164,KLINIK TC,,AKTIF,"KLINIK UTAMA MEDICINE INDONESIA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
11,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-512209,KLINIK UTAMA PRIANGAN MEDICAL CENTER,"JL. NANA ROHANA NO 07/RT 01 RW 01 KEL WARUNG MUNCANG, BANDUND KULON",,,,081286355604,,,7-11332648223,KLINIK TC,,AKTIF,"KLINIK UTAMA PRIANGAN MEDICAL CENTER,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
12,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-511931,KLINIK HARAPAN SEHAT,"JL. GATOT SUBROTO NO. 181, BANDUNG",,22.0,022-7311336,,,,7-11111131137,KLINIK TC,,AKTIF,"KLINIK HARAPAN SEHAT,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
13,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-511930,KLINIK AVASINA,"KOMP SUROPATI CORE, BLOK BOULEVARD 21, JL. PHH MOESTOPHA - BANDUNG 40192",,22.0,87242672,08122232193,,,7-11111131135,KLINIK TC,,AKTIF,"KLINIK AVASINA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
14,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-511932,KLINIK PRATAMA PT. KAI (PERSERO) BANDUNG,"JL. KEBONKAWUNG NO. 43, BANDUNG",,,,081910059772,022 76767338,022 76767338,7-11108769053,KLINIK TC,,AKTIF,"KLINIK PRATAMA PT. KAI (PERSERO) BANDUNG,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
15,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-491998,RS SANTO BORROMEUS,"JL. IR H JUANDA NO. 100, BANDUNG",,,,087824104503,,,7-10881344423,RUMAH SAKIT TC,,AKTIF,"RS SANTO BORROMEUS,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
16,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-321208,KLINIK MITRA MEDICARE,JL RAYA RANCAEKEK KP WARUNG CINA  DESA LINGGAR KEC RANCAEKEK KAB BANDUNG,,22.0,87242750,082216147886,,,7-6862596865,KLINIK TC,22/Feb/2017 00:00:00,AKTIF,"KLINIK MITRA MEDICARE,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
17,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-432024,KLINIK MITRA MEDIKA,"JL. PENGUIN RAYA 2A, BANDUNG",,,,0812 2308 750,,,7-9604096692,KLINIK TC,,AKTIF,"KLINIK MITRA MEDIKA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
18,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,6817,KLINIK NAYAKA HUSADA 04,JL TERUSAN KOPO KM 12 KATAPANG KAB. BANDUNG,,22.0,61804614,DRS H UNDANG SYARIPUDIN,6640384,6640384,1400000000251,RS. TRAUMA CENTRE,20/Mar/2014 17:00:00,AKTIF,"KLINIK NAYAKA HUSADA 04,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
19,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-461878,RS ADVENT,"JL. CIHAMPELAS 161, BANDUNG",,22.0,,0811239350,,,7-9891739693,RUMAH SAKIT TC,,AKTIF,"RS ADVENT,BANDUNG,INDONESIA","RS Advent, Jalan Cihampelas, Cipedes, Jawa Barat, 40131, Indonesia","(-6.8917595, 107.6042365, 0.0)",-6.8917595,107.6042365
20,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-501874,KLINIK PRIMA HUSADA,JL. GATOT SUBROTO NO. 313,,,,081222963940,,,7-11075391853,KLINIK TC,,AKTIF,"KLINIK PRIMA HUSADA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
21,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431960,KLINIK UTAMA PERISAI HUSADA,"JL. HALMAHERA NO.8, CITARUM, BANDUNG WETAN, KOTA BANDUNG, JAWA BARAT 40115",,,,085222377938,,,7-9618501728,KLINIK TC,,AKTIF,"KLINIK UTAMA PERISAI HUSADA,BANDUNG,INDONESIA","Klinik Utama Perisai Husada, Jalan Halmahera, Tamansari, Jawa Barat, 40116, Indonesia","(-6.9070579, 107.61588179621661, 0.0)",-6.9070579,107.61588179621661
22,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431961,KLINIK UTAMA MELATI BUNDA,JL. KIARACONDONG KOMPLEK DOLOG NO. 17 BANDUNG,,22.0,,022-7311759,,,7-9618387497,KLINIK TC,,AKTIF,"KLINIK UTAMA MELATI BUNDA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
23,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431962,BALAI BESAR KESEHATAN PARU MASYARAKAT BANDUNG,"JL. CIBADAK NO. 214, BANDUNG",,22.0,6011523,0816619654,,,7-9618190436,KLINIK TC,,AKTIF,"BALAI BESAR KESEHATAN PARU MASYARAKAT BANDUNG,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
24,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431963,KLINIK UTAMA NETRA,"JL. SUPRATMAN NO. 17, BANDUNG",,22.0,7201720,08122019229,,,7-9618085565,KLINIK TC,,AKTIF,"KLINIK UTAMA NETRA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
25,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431964,KLINIK UTAMA KESEHATAN JIWA NUR ILAHI,JL. PERTAMINA NO. 12 BANDUNG,,,,0812 2052 3901,,,7-9617924644,KLINIK TC,,AKTIF,"KLINIK UTAMA KESEHATAN JIWA NUR ILAHI,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
26,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431965,KLINIK YUSUF PRATAMA,"RUKO MUARA REGENCY NO. 14B, LEUWIPANJANG, BANDUNG",,,,0821 2859 7243,,,7-9617810363,KLINIK TC,,AKTIF,"KLINIK YUSUF PRATAMA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
27,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431966,KLNIK YUSUF MEDIKA,"JL. AHMAD YANI NO. 102, BANDUNG",,,,0812 8848 449,,,7-9616202258,KLINIK TC,,AKTIF,"KLNIK YUSUF MEDIKA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
28,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431967,KLINIK BANDUNG MEDICAL CENTER,"JL. CIJAGRA NO. 51A, LENGKONG, BANDUNG",,,,0856 5914 2700,,,7-9616061227,KLINIK TC,,AKTIF,"KLINIK BANDUNG MEDICAL CENTER,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
29,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431968,UPT KESEHATAN UNISBA,"JL. TAMANSARI NO. 1, BANDUNG",,22.0,4203368,08112310677,,,7-9615713526,KLINIK TC,,AKTIF,"UPT KESEHATAN UNISBA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
30,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431969,KLINIK PRATAMA DAHLIA,"JL. ANGGREK NO. 25, BANDUNG",,22.0,7274463,08122035637,,,7-9615547015,KLINIK TC,,AKTIF,"KLINIK PRATAMA DAHLIA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
31,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431970,KLINIK PRATAMA MEDIKA ANTAPANI II,"JL. PARAKANSAAT KOMP PARADISE REGENCY KAV R3, ANTAPANI, BANDUNG",,,,022-71520472,,,7-9615385554,KLINIK TC,,AKTIF,"KLINIK PRATAMA MEDIKA ANTAPANI II,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
32,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431971,KLINIK HEALTHY LIFE,JL. CARINGIN NO. 119B,,22.0,54410617,082118454596,,,7-9615326633,KLINIK TC,,AKTIF,"KLINIK HEALTHY LIFE,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
33,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431972,KLINIK POLDA JABAR,JL. BKR NO. 181 BANDUNG,,,,022-52005741,,,7-9613052244,KLINIK TC,,AKTIF,"KLINIK POLDA JABAR,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
34,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431973,KLINIK PRATAMA SECAPA AD,"JL. HEGARMANA NO. 152, BANDUNG",,,,0852 3823 0922,,,7-9612876623,KLINIK TC,,AKTIF,"KLINIK PRATAMA SECAPA AD,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
35,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431974,KLINIK IMC PMI KAB BANDUNG,JL. TERUSAN AL FATHU SOREANG,,,,022-8587 4343,,,7-9612293695,KLINIK TC,,AKTIF,"KLINIK IMC PMI KAB BANDUNG,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
36,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431975,BALKES UNPAD,"JL. DIPATI UKUR NO. 46, BANDUNG",,,,022-2512497,,,7-9612150104,KLINIK TC,,AKTIF,"BALKES UNPAD,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
37,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431976,KLINIK POLRESTABES BANDUNG,"JL. JAWA NO. 1, BANDUNG",,,,0877 2256 7615,,,7-9611710083,KLINIK TC,,AKTIF,"KLINIK POLRESTABES BANDUNG,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
38,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431876,KLINIK AFIATI,"JL. KOPO NO. 59 RT 01/05, PANJULAN, ASTANA ANYAR BANDUNG",,,,,,,7-9605310980,KLINIK TC,,AKTIF,"KLINIK AFIATI,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
39,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431877,KLINIK PRATAMA PT. DIRGANTARA INDONESIA,"JL. PAJAJARAN NO. 154, BANDUNG",,,,022-6055138,,,7-9605260019,KLINIK TC,,AKTIF,"KLINIK PRATAMA PT. DIRGANTARA INDONESIA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
40,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431878,KLINIK PRATAMA PERDITA," JL. CILENGKRANG I, RT 01/01, KEL CISURUPAN, KEC CIBIRU, BANDUNG",,,,0821 1601 8157,,,7-9605143568,KLINIK TC,,AKTIF,"KLINIK PRATAMA PERDITA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
41,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431880,KLINIK HIKMAH II,"JL. IBRAHIM AJI NO. 145, KIARA CONDONG, BANDUNG",,,,0858 6333 3599,,,7-9605090677,KLINIK TC,,AKTIF,"KLINIK HIKMAH II,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
42,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431881,KLINIK HIKMAH,"JL. PESANTREN NO. 8A, RT 01/04, KELURAHAN SUKAMISKIN, KECAMATAN ARCAMANIK, BANDUNG",,,,0858 6333 3599,,,7-9604989866,KLINIK TC,,AKTIF,"KLINIK HIKMAH,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
43,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431883,KLINIK UJUNGBERUNG,"JL. RUMAH SAKIT NO.5 RT. 006/07, PAKEMITAN, CINAMBO, BANDUNG",,,,0858 6333 3599,,,7-9604861785,KLINIK TC,,AKTIF,"KLINIK UJUNGBERUNG,BANDUNG,INDONESIA","Kec. Ujungberung Kel. Pasanggrahan 40617, Jawa Barat, 40618, Indonesia","(-6.9111291, 107.7130404, 0.0)",-6.9111291,107.7130404
44,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431885,KLINIK UTAMA AL ISLAM AWIBITUNG,JL. AWIBITUNG NO. 29-31 CICADAS BANDUNG,,,,0821 1654 3157,,,7-9604464414,KLINIK TC,,AKTIF,"KLINIK UTAMA AL ISLAM AWIBITUNG,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
45,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431888,KLINIK CARINGIN,"JL. BABAKAN CIPARAY NO. 249, BANDUNG",,,,022-20565985,,,7-9604353013,KLINIK TC,,AKTIF,"KLINIK CARINGIN,BANDUNG,INDONESIA","Caringin, Jawa Barat, 40212, Indonesia","(-6.9339504, 107.5763691, 0.0)",-6.9339504,107.5763691
46,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431891,KLINIK PRATAMA YASKA MEDIKA,"JL. SUKAPURA N. 22 RT 02/05, BANDUNG",,,,081382216818,,,7-9603740517,KLINIK TC,,AKTIF,"KLINIK PRATAMA YASKA MEDIKA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
47,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431894,KLINIK UTAMA CERMAT,JL. ASTANA ANYAR  NO. 124 BANDUNG,,,,022-6018671,,,7-9603652616,KLINIK TC,,AKTIF,"KLINIK UTAMA CERMAT,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
48,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431895,KLINIK PRATAMA SENO MEDIKA,JL. A. YANI NO. 675-677 BANDUNG,,22.0,7232007,0811234887,,,7-9603359125,KLINIK TC,,AKTIF,"KLINIK PRATAMA SENO MEDIKA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
49,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-432023,KLINIK PRATAMA KIARA SEHAT,JL. KIARA CONDONG NO. 299 BANDUNG,,,,0817623299,,,7-9601640085,KLINIK TC,,AKTIF,"KLINIK PRATAMA KIARA SEHAT,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
50,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-432022,KLINIK PRATAMA PANGESTU 2,JL. BINONG JATI IIRT. 01/06 BANDUNG,,,,08122057909,,,7-9601540074,KLINIK TC,,AKTIF,"KLINIK PRATAMA PANGESTU 2,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
51,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431903,KLINIK PRATAMA KOMUNITAS SEHAT CIBIRU,JL. DESA CIPADUNG- CIGAGAK IV NO. 1 BANDUNG,,22.0,7815743/,081322922508,,,7-9601368343,KLINIK TC,,AKTIF,"KLINIK PRATAMA KOMUNITAS SEHAT CIBIRU,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
52,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431904,KLINIK PRATAMA SEHAT MARGASARI,JL. MARGASARI NO. 221 A BANDUNG,,22.0,87311251,081321731581,,,7-9601152818,KLINIK TC,,AKTIF,"KLINIK PRATAMA SEHAT MARGASARI,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
53,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-432021,KLINIK PRATAMA YKCJ. RIUNG BANDUNG,JL. RIUNG HEGAR RAYA NO. 8 BANDUNG,,,,022-7564829,,,7-9600924577,KLINIK TC,,AKTIF,"KLINIK PRATAMA YKCJ. RIUNG BANDUNG,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
54,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431906,KLINIK PRATAMA YDPI. SUKASARI,JL. GEGERKALONG HILIR NO. 165 BANDUNG,,,,022-2012853,,,7-9600807056,KLINIK TC,,AKTIF,"KLINIK PRATAMA YDPI. SUKASARI,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
55,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431908,KLINIK PRATAMA YRAP. MELONG ASIH,JL. MELONG ASIH NO. 2 BANDUNG,,,,022-60009555,,,7-9600666665,KLINIK TC,,AKTIF,"KLINIK PRATAMA YRAP. MELONG ASIH,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
56,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-432020,KLINIK PRATAMA YRAP. GEGERKALONG,JL. GEGERKALONG HILIR NO. 70 BANDUNG,,,,022-2020732,,,7-9600345094,KLINIK TC,,AKTIF,"KLINIK PRATAMA YRAP. GEGERKALONG,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
57,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431910,KLINIK PRATAMA YRAP. TUBAGUS ISMAIL,JL. TUBAGUSA ISMAIL NO. 8A BANDUNG,,,,022-2510995,,,7-9600118003,KLINIK TC,,AKTIF,"KLINIK PRATAMA YRAP. TUBAGUS ISMAIL,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
58,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-431911,KINIK PRATAMA CAHAYA KALBU,JL. GUNUNG BATU NO. 15 (DEPAN BRI SEBELAH INDOMARET) BANDUNG,,,,022-6009218,,,7-9597234554,KLINIK TC,,AKTIF,"KINIK PRATAMA CAHAYA KALBU,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
59,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-432019,KLINIK PRATAMA ASRI HUSADA 3,JL. CISARANTEN KULON NO. 127 BANDUNG,,,,022-63721177,,,7-9594682273,KLINIK TC,,AKTIF,"KLINIK PRATAMA ASRI HUSADA 3,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
60,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-432017,KLINIK PRATAMA ASRI HUSADA 2,JL. TITIRAN NO. 16 BANDUNG,,,,022-2507293,022-20451344,022-20451344,7-9590556743,KLINIK TC,,AKTIF,"KLINIK PRATAMA ASRI HUSADA 2,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
61,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-432018,KLINIK PRATAMA ASRI HUSADA 1,JL.  BEKAMIN NO. 18 BANDUNG,,,,022-87245792,,,7-9587088003,KLINIK TC,,AKTIF,"KLINIK PRATAMA ASRI HUSADA 1,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
62,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,9057,KLINIK SEHAT SEJAHTERA,JL LAMAJANG NO.119 DAYEUHKOLOT,,22.0,5204139,DR RUKHIYAT SYAHIDIN. M,5204139,5204139,1500000001330,RS. TRAUMA CENTRE,26/May/2015 17:00:00,AKTIF,"KLINIK SEHAT SEJAHTERA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
63,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-343077,KLINIK UTAMA HALMAHERA MEDIKA,JL. HALMAHERA NO. 2 -BANDUNG,,,,089666420091,,,7-9286435813,KLINIK TC,23/Aug/2017 00:00:00,AKTIF,"KLINIK UTAMA HALMAHERA MEDIKA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
64,K00,BANDUNG SUCI ,K00,KANWIL JAWA BARAT,PPK-343072,RSU KASIH BUNDA,JL. MAHAR MARTANEGARA NO 166 RT 01/012 KEL BAROS KEC CIMAHI TENGAH,,,,08122308750,,,7-9258578963,RUMAH SAKIT TC,,AKTIF,"RSU KASIH BUNDA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
65,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342588,PUSKESMAS BOJONGSOANG,JL. TERS. BUAH BATU NO. 232 BOJONGSOANG,,22.0,0227514513,,0225897521,0225897521,7-8818495550,KLINIK TC,,AKTIF,"PUSKESMAS BOJONGSOANG,BANDUNG,INDONESIA","Puskesmas Bojongsoang, Jalan Sukapura, Mengger, Jawa Barat, 40257, Indonesia","(-6.9694356, 107.6354167, 0.0)",-6.9694356,107.6354167
66,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342591,PUSKESMAS CIBEUNYING,JL. LIGAR AYU  NO. 5 DS. CIBEUNYING,,22.0,0222505028,,0225897521,0225897521,7-8818386319,KLINIK TC,,AKTIF,"PUSKESMAS CIBEUNYING,BANDUNG,INDONESIA","Taman Puskesmas Salam, Kec. Cibeunying Kidul Kel. Sukamaju 40121, Jawa Barat, Indonesia","(-6.90999815, 107.62984116348932, 0.0)",-6.90999815,107.62984116348932
67,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342593,PUSKESMAS CIMENYAN,JL. TERUSAN PADASUKA ATAS KEC. CIMENYAN,,22.0,02270363456,,0225897521,0225897521,7-8818242468,KLINIK TC,,AKTIF,"PUSKESMAS CIMENYAN,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
68,K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-342608,PUSKESMAS SANTOSA,PTT VII TALON SANTOSA KEC. KERTASARI,,22.0,0225979864,,0225897521,0225897521,7-8818093527,KLINIK TC,,AKTIF,"PUSKESMAS SANTOSA,BANDUNG,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
