KODE_KANTOR,KANTOR_CABANG,KODE_KANWIL,KANWIL,KODE_PPK,NAMA_PPK,ALAMAT_PPK,KODE_POS_PPK,TELEPON_AREA_PPK,TELEPON_PPK,CONTACT_PERSON,TELEPON_PEMILIK,TELEPON_EXT_PEMILIK,NO_PPK,JENIS_FASKES,TGL_PPK,STATUS
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542469,UPTD PUSKESMAS BETUNG,DESA BETUNG,,,,,,,7-11853731184,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542468,UPTD PUSKESMAS BURNAI MULYA,JL. RAYA BURNAY MULYA KEC. SEMENDAWAI TIMUR,,,,,,,7-11853698963,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542467,UPTD PUSKESMAS CEMPAKA,DESA CEMPAKA KEC. SEMENDAWAI TIMUR,,,,,,,7-11853515842,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542466,UPTD PUSKESMAS TRIMOHARJO,DESA TROMOHARJO KEC. SEMENDAWAI SUKU III,,,,,,,7-11853475341,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542465,UPTD PUSKESMAS TARAMAN,DESA TARAMAN KEC. SEMENDAWAI SUKU II,,,,,,,7-11853425820,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542464,UPTD PUSKESMAS TOTOREJO,DESA TOTOREJO KEC. BELITANG II,,,,,,,7-11853375029,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542463,UPTD PUSKESMAS PURWODADI,DESA PURWODADI KEC. BELITANG MULYA,,,,,,,7-11853090418,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542462,UPTD PUSKESMAS NUSA BAKTI,DESA NUSA BAKTI KEC. BELITANG III,,,,,,,7-11853066817,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542461,UPTD PUSKESMAS WAY HITAM IV,DESA KARSA JAYA KEC. BELITANG JAYA,,,,,,,7-11853014516,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542460,UPTD PUSKESMAS GUMAWANG,DESA GUMAWANG KEC. BELITANG,,,,,,,7-11852975855,KLINIK TC,,AKTIF
K13,TANGERANG CIKUPA ,K13,KANWIL BANTEN,PPK-542446,RUMAH SAKIT SELARAS,JL. RAYA LAPAN RUMPIN SURADITA CISAUK,,,,081315046613,,,7-11852873584,RUMAH SAKIT TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542459,UPTD PUSKESMAS RASUAN,DESA RASUAN KEC. MADANG SUKU I,,,,,,,7-11852841744,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542458,UPTD PUSKESMAS BANGSA NEGARA,DESA BANGSA NEGARA KEC. BELITANG MADANG RAYA,,,,,,,7-11852721103,KLINIK TC,,AKTIF
K13,TANGERANG CIKUPA ,K13,KANWIL BANTEN,PPK-542447,BLK SELESIAN DON BOSCO,JL. PEMDA TIGARAKSA DS. MATAGARA,,,,,,,7-11852342223,BLK / TRAINING CENTRE,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542457,UPTD PUSKESMAS BATUMARTA VIII,BATUMARTA VIII KEC. MADANG SUKU II,,,,,,,7-11852626694,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542456,UPTD PUSKESMAS MUNCAK KABAU,DESA MUNCAK KABAU KEC.BUAY PEMUKA BANGSA RAJA,,,,,,,7-11852553623,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542455,UPTD PUSKESMAS SUKARAJA,DESA SUKARAJA TUHA KEC BUAY MADANG,,,,,,,7-11852517812,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542454,UPTD PUSKESMAS PANDAN AGUNG,JL. RAYA KOMERING DESA PANDAN AGUNG KEC MADANG SUKU II,,,,,,,7-11852471821,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542453,UPTD PUSKESMAS RAWA BENING,DESA SRIKATON KEC. BUAY MADANG TIMUR,,,,,,,7-11852383310,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542452,UPTD PUSKESMAS PEMETUNG BASUKI,"SAUNG DADI,BUAY PEMUKA PELIUNG KAB OKU SUMSEL",,,,,,,7-11852382759,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542451,UPTD PUSKESMAS JAYAPURA,DESA JAYAPURA KEC. JAYAPURA,,,,,,,7-11852325408,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542450,UPTD PUSKESMAS BUNGA MAYANG,"NEGERI RATU BARU,BUNGA MAYANG KAB.OKUT SUMSEL",,,,,,,7-11852246007,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542449,UPTD PUSKESMAS KOTABARU,DESA KOTA BARU KEC. MARTAPURA,,,,,,,7-11852202136,KLINIK TC,,AKTIF
G03,MUARA ENIM,G03,KANWIL SUMBAGSEL,PPK-542448,UPTD PUSKESMAS MARTAPURA,JL. KOL.H.BURLIAN KEL.PASAR KEC MARTAPURA,,,,,,,7-11851419035,KLINIK TC,,AKTIF
C01,BUKIT TINGGI,C01,KANWIL SUMBARRIAU,PPK-542470,RSUD PASAMAN BARAT,JL JEND SUDIRMAN SIMAPNG AMPEK PASAMAN BARAT,,,,081374816161,,,7-11845028243,RUMAH SAKIT TC,,AKTIF
L06,MAGELANG,L06,KANWIL JATENG DAN DIY,PPK-542436,RSU AMANAH UMAT PURWOREJO,JLN BRIGJEND KATAMSO NO.144A,,0275,0275325260,085727766994,0275325260,0275325260,7-11797036683,RUMAH SAKIT TC,,AKTIF
S00,BALIKPAPAN,S00,KANWIL KALIMANTAN,PPK-542437,RUMAH SAKIT HERMINA BALIKPAPAN,JL.MT.HARYONO NO.45 RT.45,,0542,0542 8508989,081288488900,0542 8508989,0542 8508989,7-11767508763,RUMAH SAKIT TC,,AKTIF
C00,PADANG,C00,KANWIL SUMBARRIAU,PPK-532447,RSKM PADANG EYE CENTRE,"JL PEMUDA NO 53 OLO, PADANG BARAT",,0751,,08116681200,075130094,075130094,7-11766294053,RUMAH SAKIT TC,,AKTIF
K06,SUKABUMI,K06,KANWIL JAWA BARAT,PPK-532448,KLINIK ASRI,JL OTTOISKANDAR DINATA I NO 7 BOJONGHERANG,,,,08122396920,,,7-11763256193,KLINIK TC,01/Feb/2018 00:00:00,AKTIF
N08,BLITAR,N08,KANWIL JATIM,PPK-532442,RSU AULIA,JL RAYA UTARA NO. 3,,,0342444168,085604677128,0342444168,0342444168,7-11757314091,RUMAH SAKIT TC,,AKTIF
K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-532445,RUMAH SAKIT LANUD SULAIMAN,JL TERUSAN KOPO KM 10 NO 457,,022,,08126785149,,,7-11755954486,RUMAH SAKIT TC,,AKTIF
K15,BANDUNG LODAYA,K15,KANWIL JAWA BARAT,PPK-532444,KLINIK RATNASARI SEHAT,JL SOREANG BANJARAN DESA CILUNCAT,,022,,081321134979,,,7-11755426705,KLINIK TC,,AKTIF
K19,TANGERANG SELATAN,K19,KANWIL BANTEN,PPK-532446,RUMAH SAKIT UMUM KOTA TANGERANG SELATAN,JL PAJAJARAN NOMOR 101 PAMULANG TANGSEL,,021,74718440,082112734886,,,7-11754405853,RUMAH SAKIT TC,,AKTIF
C01,BUKIT TINGGI,C01,KANWIL SUMBARRIAU,PPK-532441,RSUD LUBUK SIKAPING,JLN. SUDIRMAN NOMOR 33 LUBUK SIKAPING,,0753,,085361002284,,,7-11752186050,RUMAH SAKIT TC,,AKTIF
B06,BINJAI,B06,KANWIL SUMBAGUT,PPK-532443,KLINIK PRATAMA HARAPAN KITA,JL. SECANGGANG PSR.12 DESA SUKA MULIA NO. 155,,0813,75911738,081375911738,,,7-11750558983,KLINIK TC,,AKTIF
D02,BATAM NAGOYA,D02,KANWIL SUMBARRIAU,PPK-532440,BALAI PENGOBATAN BATAM SEHAT,JALAN HANG JEBAT KOMPLEK H.RAHMAN BLOK A1 NO. 1-2 KEL BATU BESAR KEC. NONGSA BATAM.,,,081378089875,085213143635,081378089875,081378089875,7-11739848983,KLINIK TC,,AKTIF
N09,MADURA,N09,KANWIL JATIM,PPK-532438,KLINIK FARHAN,JALAN KAMBOJA NO.16 KELURAHAN PAJAGALAN,,,0328663717,087882552313,0328663717,0328663717,7-11734907063,KLINIK TC,,AKTIF
J03,JAKARTA KELAPA GADING ,J03,KANWIL DKI JAKARTA,PPK-532439,ORTHOCARE INDONESIA PT,"RUKO GALERI NIAGA MEDITERANIA 2, BLOK N 8 J PANTAI INDAH UTARA 2 - PANTAI INDAH KAPUK",,,,085883210316,,,7-11726590533,SENTRA ORTHOSE / PROTHOSE,,AKTIF
W00,MAKASSAR,W00,KANWIL SULAWESI MALUKU,PPK-552457,KLINIK NAHDA SELAYAR,JL. JEND. AHMAD YANI BENTENG SELAYAR,,0813,081342109749,081342109749,081342109749,081342109749,7-11721878433,KLINIK TC,,AKTIF
S03,BONTANG,S03,KANWIL KALIMANTAN,PPK-532436,RSUD SANGKULIRANG,JL. WANA BHAKTI DESA BENUA BARU ULU KEC. SANGKULIRANG,,0852,48284818,081253978200,,,7-11716450505,RUMAH SAKIT TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-532437,RUMAH SAKIT UMUM DAERAH ENDE,"JALAN PROF. DR. WZ. JOHANES, KEL. PAUPIRE, ENDE TENGAH",,,,081337494342,,,7-11709122931,RUMAH SAKIT TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522473,PUSKESMAS WANING,JALAN DANIEL DAENG NABIT,,,,081339078327,,,7-11700885447,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522474,PUSKESMAS NANGA TERANG,JALAN DANIEL DAENG NABIT,,,,081339078327,,,7-11700849166,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522475,PUSKESMAS WAE PITAK,JALAN DANIEL DAENG NABIT,,,,081339078327,,,7-11700677525,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522449,PUSKESMAS WELAMOSA,"DS. WELAMOSA, KEC. WEWARIA",,,,082190417605,,,7-11686124139,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522450,PUSKESMAS SAGA,"DS. SAGA, KEC. DETUSOKO",,,,082190417605,,,7-11686003038,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522451,PUSKESMAS DETUSOKO,"DS. DETUSOKO, KEC. DETUSOKO",,,,082190417605,,,7-11685964927,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522452,PUSKESMAS KELISOKE,KEC. LEPEMBUSU KELISOKE,,,,082190417605,,,7-11685913406,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522453,PUSKESMAS WATUNGGERE,"DS. MAUROLE SELATAN, KEC. DETUKELI",,,,082190417605,,,7-11685882045,KLINIK TC,,AKTIF
C00,PADANG,C00,KANWIL SUMBARRIAU,9640,KLINIK AMANAH,JL. RAYA PADANG BUKITTINGGI KM 19 DUKU KEC. BATANG ANAI,,0751,481291,081266369666,66369666,66369666,1500000001939,KLINIK TC,12/Apr/2015 00:00:00,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522455,PUSKESMAS MAUROLE,"DS. WATUKAMBA, KEC. MAUROLE",,,,082190417605,,,7-11685599113,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522456,PUSKESMAS MAUBASA,"DS. NDORI, KEC. NDORI",,,,082190417605,,,7-11684157987,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522457,PUSKESMAS KELIMUTU,"DS. WOLOARA, KEC. KELIMUTU",,,,082190417605,,,7-11684057376,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522458,PUSKESMAS WATUNESO,"KEC. WATUNESO, KEC. LIO TIMUR",,,,082190417605,,,7-11683982185,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522459,PUSKESMAS WOLOJITA,"WOLOJITA, KEC. WOLOJITA",,,,082190417605,,,7-11683895694,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522460,PUSKESMAS WOLO WARU,"DS. BOKASAPE, KEC. WOLOWARU",,,,082190417605,,,7-11683709793,KLINIK TC,,AKTIF
T00,MANADO,T00,KANWIL SULAWESI MALUKU,PPK-522448,RSUD MARIA WALANDA MARAMIS,JL PROF ARNOLD MONONUTU,,0431,,,,,7-11675544233,RUMAH SAKIT TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522461,PUSKESMAS ROGA,"DS. ROGA, KEC. NDONA TIMUR",,,,082190417605,,,7-11667402505,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522462,PUSKESMAS NGALUPOLO,"DS. NGALUPOLO, KEC. NDONA",,,,082190417605,,,7-11667281834,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522463,PUSKESMAS KOTA RATU,"KEL. KOTARAJA, KEC. ENDE UTARA",,,,082190417605,,,7-11667160963,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522464,PUSKESMAS ONEKORE,"KEL. ONEKORE, KEC. ENDE TENGAH",,,,082190417605,,,7-11665544035,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522465,PUSKESMAS KOTA ENDE,"KEL. MAUTAPAGA, KEC. ENDE TENGAH",,,,082190417605,,,7-11665406544,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522466,PUSKESMAS REWARANGGA,"KEL. REWARANGGA, KEC. ENDE TIMUR",,,,082190417605,,,7-11665387963,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522467,PUSKESMAS RUKUN LIMA," KEL. RUKUN LIMA, KEC. ENDE SELATAN",,,,082190417605,,,7-11661405126,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522468,PUSKESMAS RIA RAJA,"DS. RUKURAMBA, KEC. ENDE",,,,082190417605,,,7-11661294775,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522469,PUSKESMAS NDETUNDORA,"DS. NDETUNDORA I, KEC. ENDE",,,,,,,7-11661064244,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522470,PUSKESMAS MAUKARO,"DS. KEBIRANGGA, KEC. MAUKARO",,,,082190417605,,,7-11660903433,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522471,PUSKESMAS A. YANI,"DS. NDORIWOI, KEC. PULAU ENDE",,,,082190417605,,,7-11660563829,KLINIK TC,,AKTIF
X01,NUSA TENGGARA TIMUR,X01,KANWIL BANUSPA,PPK-522472,PUSKESMAS NANGAPANDA,"KEL. NDORUREA, KEC. NANGA PANDA",,,,082190417605,,,7-11646869979,KLINIK TC,,AKTIF
N01,KEDIRI,N01,KANWIL JATIM,PPK-522447,KLINIK RAWAT INAP FIFA HUSADA,DESA SONOREJO KEC GROGOL KAB KEDIRI,,0358,,085236217900,,,7-11635896283,KLINIK TC,,AKTIF
X03,NUSA TENGGARA BARAT,X03,KANWIL BANUSPA,PPK-522446,RS GRHA ULTIMA MEDIKA,JALAN MAJAPAHIT NO 10 MATARAM,,,,08174717910,,,7-11631032021,RUMAH SAKIT TC,,AKTIF
N05,MOJOKERTO,N05,KANWIL JATIM,PPK-522443,RSU DR WAHIDIN SUDIRO HUSODO,JL SURODUNAWAN NO 55 PRAJURIT KULON,,0321,0321322194,081217790777,0321322194,0321322194,7-11625664033,RUMAH SAKIT TC,,AKTIF
N12,GRESIK,N12,KANWIL JATIM,PPK-522442,RUMAH SAKIT UMUM RACHMI DEWI GRESIK,JL JAWA NO 79-81 GRESIK,,031,0313956000,0811343971,0313956000,0313956000,7-11624167843,RUMAH SAKIT TC,,AKTIF
J16,JAKARTA SUDIRMAN ,J16,KANWIL DKI JAKARTA,PPK-522444,SILOAM INTERNATIONAL HOSPITALS,JL.GARNISUN KAV 2-3 SEMANGGI,,021,29962888,085883939600,29962888,29962888,7-11620998203,RUMAH SAKIT TC,,AKTIF
N12,GRESIK,N12,KANWIL JATIM,PPK-522441,RS SEMEN GRESIK,JL RA KARTINI 280 GRESIK,,031,,081553748215,031-3987840,031-3987840,7-11621288573,RUMAH SAKIT TC,,AKTIF
B01,PEMATANGSIANTAR,B01,KANWIL SUMBAGUT,PPK-522438,KLINIK PRATAMA SERASI BERINGIN,"JLN MEDAN KM 9,5 SINAKSAK KECAMATAN TAPIAN DOLOK",,,,,,,7-11602908622,KLINIK TC,,AKTIF
L11,SEMARANG MAJAPAHIT,L11,KANWIL JATENG DAN DIY,PPK-522440,PUSKESMAS KARANGANYAR I,"DS. RAYA KUDUS-DEMAK KM 5 DS. KARANGANYAR, KEC. KARANGANYAR",,000,0291432542,08122572740,0291685934,0291685934,7-11585977173,KLINIK TC,,AKTIF
